Rndrng_NPI,total_neurovasc_services,total_services,fraction_neurovasc
1003011339,13.0,1999.0,0.0065032516258129065
1003032111,33.0,88.0,0.375
1003038043,38.0,907.0,0.04189636163175303
1003115270,28.0,530.0,0.052830188679245285
1003299629,78.0,2049.0,0.03806734992679356
1003825183,394.0,1914.0,0.2058516196447231
1003853730,23.0,6392.0,0.0035982478097622028
1003860735,479.0,2416.0,0.1982615894039735
1003861733,14.0,2726.0,0.005135730007336757
1013025857,120.0,1497.0,0.08016032064128256
1013155688,23.0,1752.0,0.013127853881278538
1013176734,195.0,4084.0,0.04774730656219393
1013189737,11.0,2115.0,0.005200945626477541
1013216472,259.0,827.0,0.313180169286578
1013227198,300.0,4402.0,0.06815084052703317
1013228410,187.0,3013.0,0.062064387653501495
1013235183,181.0,1105.0,0.16380090497737557
1013350511,14.0,969.0,0.014447884416924664
1023094950,259.0,5696.0,0.045470505617977525
1033119458,16.0,79.0,0.20253164556962025
1033164637,722.0,5524.0,0.13070238957277336
1033169743,541.0,5218.0,0.10367957071674971
1033238647,668.0,3200.0,0.20875
1033477278,275.0,3063.0,0.08978126020241593
1033644265,25.0,25.0,1.0
1043203706,35.0,6193.0,0.005651542063620217
1043285984,143.0,7260.0,0.019696969696969695
1043347248,813.0,4575.0,0.17770491803278687
1053331900,336.0,3995.0,0.08410513141426783
1053428326,418.0,2909.0,0.1436919903746992
1053536755,125.0,10219.0,0.01223211664546433
1053570374,12.0,1974.0,0.0060790273556231
1053591024,502.0,3400.0,0.1476470588235294
1053667303,164.0,1312.0,0.125
1053690164,93.0,1200.0,0.0775
1053696187,582.0,6776.0,0.0858913813459268
1053750489,109.0,595.0,0.18319327731092436
1063822112,75.0,814.0,0.09213759213759214
1073652152,37.0,4074.0,0.009081983308787433
1073786661,97.0,1630.0,0.05950920245398773
1073830360,587.0,2819.0,0.2082298687477829
1073856399,33.0,410.0,0.08048780487804878
1073893913,13.0,3369.0,0.00385871178391214
1073957312,111.0,1281.0,0.08665105386416862
1083666978,1275.0,11953.0,0.1066677821467414
1083672703,126.0,9773.0,0.01289266346055459
1083726798,13.0,4264.0,0.003048780487804878
1083811418,557.0,8637.0,0.06448998494847748
1083859581,51.0,2370.0,0.021518987341772152
1083908099,510.0,2998.0,0.17011340893929286
1083932214,59.0,278.0,0.21223021582733814
1083984983,13.0,760.0,0.017105263157894738
1093183543,97.0,1066.0,0.09099437148217636
1093771586,173.0,773.0,0.2238033635187581
1093919946,14.0,2011.0,0.0069617105917454
1093939118,124.0,2852.0,0.043478260869565216
1093975500,15.0,797.0,0.018820577164366373
1093995136,292.0,1379.0,0.21174764321972445
1104147909,89.0,1620.0,0.05493827160493827
1114134921,52.0,1521.0,0.03418803418803419
1114508025,52.0,134.0,0.3880597014925373
1124040308,33.0,2112.0,0.015625
1124061775,563.0,1428.0,0.3942577030812325
1124078027,11.0,1509.0,0.00728959575878065
1124220231,43.0,595.0,0.07226890756302522
1124239355,75.0,3269.0,0.02294279596206791
1124277272,207.0,2906.0,0.07123193392980041
1124316385,61.0,1253.0,0.04868316041500399
1124415856,52.0,139.0,0.37410071942446044
1124462700,12.0,568.0,0.02112676056338028
1134237712,556.0,5456.0,0.10190615835777127
1134241243,48.0,3429.0,0.01399825021872266
1134276777,523.0,4649.0,0.11249731124973113
1144269432,34.0,757.0,0.04491413474240423
1144336538,14.0,5942.0,0.0023561090541905083
1144343484,336.0,3458.0,0.09716599190283401
1144373739,865.0,5061.0,0.1709148389646315
1144425067,655.0,3464.0,0.1890877598152425
1144430125,25.0,1871.0,0.013361838588989846
1144454679,53.0,3381.0,0.01567583555161195
1144510181,246.0,2777.0,0.08858480374504861
1144549031,25.0,1137.0,0.02198768689533861
1144581216,22.0,965.0,0.022797927461139896
1144583113,166.0,2142.0,0.07749766573295985
1144584004,149.0,1311.0,0.11365369946605644
1144586116,11.0,419.0,0.026252983293556086
1144616269,133.0,1671.0,0.07959305804907241
1154516532,437.0,2704.0,0.16161242603550297
1154559961,13.0,5198.0,0.002500961908426318
1154584142,13.0,2366.0,0.005494505494505495
1154640282,154.0,856.0,0.17990654205607476
1154659506,96.0,1847.0,0.05197617758527342
1174658272,37.0,1257.0,0.0294351630867144
1174740344,71.0,1623.0,0.04374614910659273
1174787337,306.0,4915.0,0.062258392675483214
1184028367,12.0,36.0,0.3333333333333333
1184683195,601.0,3719.0,0.16160258133906963
1184683708,395.0,3229.0,0.1223288943945494
1184689515,142.0,6436.0,0.022063393412057177
1184693244,800.0,4355.0,0.18369690011481057
1184825200,431.0,3707.0,0.11626652279471271
1184859530,13.0,5622.0,0.002312344361437211
1184955734,36.0,3744.0,0.009615384615384616
1194067322,130.0,498.0,0.26104417670682734
1194083915,50.0,574.0,0.08710801393728224
1205030129,12.0,1485.0,0.00808080808080808
1205063526,404.0,3984.0,0.10140562248995984
1205068186,528.0,4176.0,0.12643678160919541
1205195211,15.0,105.0,0.14285714285714285
1205271236,14.0,121.0,0.11570247933884298
1205872017,12.0,233.0,0.05150214592274678
1205923323,384.0,17876.0,0.0214813157305885
1215124805,167.0,2352.0,0.07100340136054421
1215262878,454.0,2915.0,0.15574614065180103
1225237795,243.0,3490.0,0.06962750716332378
1225294432,217.0,2187.0,0.09922267946959305
1225297070,198.0,2876.0,0.06884561891515995
1225321664,11.0,1778.0,0.006186726659167604
1225323488,98.0,825.0,0.11878787878787879
1225398779,138.0,500.0,0.276
1235286113,1080.0,7538.0,0.1432740780047758
1235355496,27.0,1633.0,0.01653398652786283
1235395849,83.0,903.0,0.09191583610188261
1235457037,12.0,569.0,0.0210896309314587
1245443068,597.0,3152.0,0.18940355329949238
1245490283,198.0,2650.0,0.07471698113207548
1255354478,238.0,1530.0,0.15555555555555556
1255652426,51.0,606.0,0.08415841584158416
1265408843,1763.0,10591.0,0.1664620904541592
1265479844,12.0,9151.0,0.0013113320948530216
1265606032,315.0,2480.0,0.12701612903225806
1265669584,336.0,2766.0,0.12147505422993492
1265792576,96.0,1981.0,0.04846037354871277
1275505406,619.0,4786.0,0.12933556205599667
1275724320,143.0,29667.0,0.00482017055988135
1285069401,110.0,1029.0,0.10689990281827016
1285783688,234.0,1850.0,0.1264864864864865
1285827725,62.0,2058.0,0.03012633624878523
1285834630,163.0,4711.0,0.03459987263850563
1285890046,86.0,3961.0,0.021711688967432467
1285898312,323.0,3492.0,0.0924971363115693
1295790525,157.0,6088.0,0.025788436268068333
1295857555,201.0,2012.0,0.09990059642147117
1295961555,239.0,2518.0,0.0949166004765687
1306130885,108.0,2253.0,0.047936085219707054
1306174008,97.0,2034.0,0.04768928220255654
1306189527,104.0,1938.0,0.053663570691434466
1306836853,957.0,6630.0,0.14434389140271492
1306846928,18.0,2725.0,0.0066055045871559635
1306856828,537.0,3356.0,0.1600119189511323
1316068927,49.0,722.0,0.06786703601108034
1316136674,89.0,1276.0,0.06974921630094044
