Rndrng_NPI,Rndrng_Prvdr_Last_Org_Name,Rndrng_Prvdr_First_Name,Rndrng_Prvdr_MI,Rndrng_Prvdr_Crdntls,Rndrng_Prvdr_Ent_Cd,Rndrng_Prvdr_St1,Rndrng_Prvdr_St2,Rndrng_Prvdr_City,Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_State_FIPS,Rndrng_Prvdr_Zip5,Rndrng_Prvdr_RUCA,Rndrng_Prvdr_RUCA_Desc,Rndrng_Prvdr_Cntry,Rndrng_Prvdr_Type,Rndrng_Prvdr_Mdcr_Prtcptg_Ind,HCPCS_Cd,HCPCS_Desc,HCPCS_Drug_Ind,Place_Of_Srvc,Tot_Benes,Tot_Srvcs,Tot_Bene_Day_Srvcs,Avg_Sbmtd_Chrg,Avg_Mdcr_Alowd_Amt,Avg_Mdcr_Pymt_Amt,Avg_Mdcr_Stdzd_Amt,year
1003032111,Gupta,Vikas,,MD,I,1921 Waldemere St Ste 607,,Sarasota,FL,12,34239,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Neurology,Y,61624,Occlusion of central nervous system or spinal cord artery,N,F,11,11.0,11,3110.8181818,1248.4454545,994.69454545,917.91,2023
1003038043,Duckworth,Edward,A,MD,I,1709 Dryden Rd,Suite 750 - Department Of Neurosurgery,Houston,TX,48,77030,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Neurosurgery,Y,61624,Occlusion of central nervous system or spinal cord artery,N,F,11,12.0,11,2568.5,841.67833333,679.34583333,784.04916667,2023
1003177338,Linn,Alex,J,M.D.,I,1301 S Cliff Ave Ste 610,,Sioux Falls,SD,46,57105,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Neurology,Y,61624,Occlusion of central nervous system or spinal cord artery,N,F,22,29.0,22,914.65862069,900.02689655,717.09517241,775.47413793,2023
1003264193,Almallouhi,Eyad,,MD,I,1921 Waldemere St Ste 607,,Sarasota,FL,12,34239,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Neurology,Y,61624,Occlusion of central nervous system or spinal cord artery,N,F,13,15.0,14,2493.0,1093.2453333,853.876,887.31266667,2023
1003825183,Toledo,Maria,M,M.D.,I,5153 N 9th Ave Ste 302,,Pensacola,FL,12,32504,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Neurosurgery,Y,61624,Occlusion of central nervous system or spinal cord artery,N,F,24,29.0,27,2987.8896552,1112.8962069,890.83724138,878.34413793,2023
1003860735,Aziz-Sultan,Mohammad Ali,,M.D.,I,75 Francis St,,Boston,MA,25,2115,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Neurosurgery,Y,61624,Occlusion of central nervous system or spinal cord artery,N,F,15,15.0,15,6018.0,1211.4,965.18,917.91,2023
1003861733,Kozak,Osman,,,I,1200 Old York Rd,5 Toll,Abington,PA,42,19001,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Neurology,Y,61624,Occlusion of central nervous system or spinal cord artery,N,F,11,12.0,11,4505.5,1163.2158333,926.78666667,879.66333333,2023
1003861733,Kozak,Osman,,,I,1200 Old York Rd,5 Toll,Abington,PA,42,19001,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Neurology,Y,61635,Insertion of stent in blood vessel of head,N,F,15,16.0,16,3450.0,1561.73,1244.31,1171.63,2023
1003873951,Tomalty,Robert,D,M.D.,I,2006 Franklin St Se,Suite 200,Huntsville,AL,1,35801,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Diagnostic Radiology,Y,61624,Occlusion of central nervous system or spinal cord artery,N,F,20,20.0,20,2970.0,1086.99,870.1,894.962,2023
1013059872,Baker,Christopher,,M.D.,I,4041 Macarthur Blvd Ste 360,,Newport Beach,CA,06,92660,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Interventional Radiology,Y,61624,Occlusion of central nervous system or spinal cord artery,N,F,16,23.0,16,4646.0,1008.2347826,805.21434783,778.22652174,2023
1013123280,Taqi,Muhammad,A,M.D.,I,1150 N Indian Canyon Dr,,Palm Springs,CA,06,92262,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Neurology,Y,61626,Occlusion of head or neck artery,N,F,11,13.0,11,5606.0207692,713.16384615,568.21153846,544.22923077,2023
1013216472,Felbaum,Daniel,R,MD,I,3100 Princeton Pike,"Building 3, Suite D",Lawrenceville,NJ,34,8648,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Neurosurgery,Y,61624,Occlusion of central nervous system or spinal cord artery,N,F,17,23.0,19,2984.3478261,1183.5217391,934.37130435,749.81173913,2023
1013227198,Sorkin,Grant,C,MD,I,228 Saint Charles Way Ste 300,,York,PA,42,17402,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Neurosurgery,Y,61624,Occlusion of central nervous system or spinal cord artery,N,F,12,14.0,12,3224.0,1049.7042857,839.38285714,786.78,2023
1013235183,Tanweer,Omar,,M.D.,I,7200 Cambridge St Fl 10,,Houston,TX,48,77030,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Neurosurgery,Y,61624,Occlusion of central nervous system or spinal cord artery,N,F,14,15.0,15,5963.0,1203.09,958.56,917.91,2023
1023266103,Singh,Jasmeet,,MD,I,55 Lake Ave N,,Worcester,MA,25,1655,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Diagnostic Radiology,Y,61624,Occlusion of central nervous system or spinal cord artery,N,F,15,15.0,15,4807.4,1146.2266667,913.25266667,917.91,2023
1033238647,Ashley,William,W,"M.D., PH.D., M.B.A.",I,5051 Greenspring Ave,Suite 300,Baltimore,MD,24,21209,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Neurosurgery,Y,61624,Occlusion of central nervous system or spinal cord artery,N,F,24,31.0,24,3632.0,1154.0664516,919.50225806,755.05483871,2023
1043285984,Bendok,Bernard,,MD,I,13400 E Shea Blvd,,Scottsdale,AZ,4,85259,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Neurosurgery,Y,61624,Occlusion of central nervous system or spinal cord artery,N,F,16,17.0,16,11657.0,1089.2723529,869.81294118,863.91529412,2023
1043347248,Alexander,Michael,J,M.D.,I,127 S. San Vicente Blvd.,Suite A6600,Los Angeles,CA,6,90048,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Neurosurgery,Y,61624,Occlusion of central nervous system or spinal cord artery,N,F,16,17.0,17,6843.0,1200.09,960.63,917.91,2023
1053345256,Pergolizzi,Richard,S,MD,I,2602 Buford Rd,,North Chesterfield,VA,51,23235,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Diagnostic Radiology,Y,61624,Occlusion of central nervous system or spinal cord artery,N,F,16,16.0,16,2909.11,1057.87625,845.58,860.54,2023
1053667303,Dornbos,David,L,M.D.,I,740 S Limestone,Ste B101,Lexington,KY,21,40536,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Neurosurgery,Y,61624,Occlusion of central nervous system or spinal cord artery,N,F,11,12.0,11,6176.6591667,1064.2233333,851.87333333,879.66333333,2023
1053690164,Multani,Sumeet,S,M.D,I,255 W Lancaster Ave,,Paoli,PA,42,19301,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Neurosurgery,Y,61624,Occlusion of central nervous system or spinal cord artery,N,F,13,18.0,14,2935.4444444,1095.2194444,872.61166667,764.92444444,2023
1053696187,Matouk,Charles,C,M.D.,I,800 Howard Ave,"Lower Level, Neuroscience Center",New Haven,CT,9,6519,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Neurosurgery,Y,61624,Occlusion of central nervous system or spinal cord artery,N,F,13,16.0,14,6590.0,1121.266875,897.50375,803.171875,2023
