Rndrng_NPI,Rndrng_Prvdr_Last_Org_Name,Rndrng_Prvdr_First_Name,Rndrng_Prvdr_MI,Rndrng_Prvdr_Crdntls,Rndrng_Prvdr_Ent_Cd,Rndrng_Prvdr_St1,Rndrng_Prvdr_St2,Rndrng_Prvdr_City,Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_State_FIPS,Rndrng_Prvdr_Zip5,Rndrng_Prvdr_RUCA,Rndrng_Prvdr_RUCA_Desc,Rndrng_Prvdr_Cntry,Rndrng_Prvdr_Type,Rndrng_Prvdr_Mdcr_Prtcptg_Ind,HCPCS_Cd,HCPCS_Desc,HCPCS_Drug_Ind,Place_Of_Srvc,Tot_Benes,Tot_Srvcs,Tot_Bene_Day_Srvcs,Avg_Sbmtd_Chrg,Avg_Mdcr_Alowd_Amt,Avg_Mdcr_Pymt_Amt,Avg_Mdcr_Stdzd_Amt,year
1003038043,Duckworth,Edward,A,MD,I,1709 Dryden Rd,Suite 750 - Department Of Neurosurgery,Houston,TX,48,77030,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Neurosurgery,Y,61624,Occlusion of central nervous system or spinal cord artery,N,F,11,12.0,11,2568.5,841.67833333,679.34583333,784.04916667,2023
1003038043,Duckworth,Edward,A,MD,I,1709 Dryden Rd,Suite 750 - Department Of Neurosurgery,Houston,TX,48,77030,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Neurosurgery,Y,75894,Review by radiologist of image for insertion of material to block blood flow,N,F,11,11.0,11,131.56363636,59.762727273,47.579090909,56.575454545,2023
1003038043,Duckworth,Edward,A,MD,I,1709 Dryden Rd,Suite 750 - Department Of Neurosurgery,Houston,TX,48,77030,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Neurosurgery,Y,75898,Imaging of blood vessel,N,F,11,15.0,11,153.72,72.875333333,54.424666667,59.582666667,2023
1003825183,Toledo,Maria,M,M.D.,I,5153 N 9th Ave Ste 302,,Pensacola,FL,12,32504,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Neurosurgery,Y,61624,Occlusion of central nervous system or spinal cord artery,N,F,24,29.0,27,2987.8896552,1112.8962069,890.83724138,878.34413793,2023
1003825183,Toledo,Maria,M,M.D.,I,5153 N 9th Ave Ste 302,,Pensacola,FL,12,32504,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Neurosurgery,Y,75894,Review by radiologist of image for insertion of material to block blood flow,N,F,23,26.0,26,177.37,71.384615385,57.144230769,56.326538462,2023
1003825183,Toledo,Maria,M,M.D.,I,5153 N 9th Ave Ste 302,,Pensacola,FL,12,32504,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Neurosurgery,Y,75898,Imaging of blood vessel,N,F,21,45.0,23,220.52,94.69,75.8,61.64,2023
1003860735,Aziz-Sultan,Mohammad Ali,,M.D.,I,75 Francis St,,Boston,MA,25,2115,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Neurosurgery,Y,61624,Occlusion of central nervous system or spinal cord artery,N,F,15,15.0,15,6018.0,1211.4,965.18,917.91,2023
1003860735,Aziz-Sultan,Mohammad Ali,,M.D.,I,75 Francis St,,Boston,MA,25,2115,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Neurosurgery,Y,75894,Review by radiologist of image for insertion of material to block blood flow,N,F,16,16.0,16,287.875,74.38,59.26,55.79,2023
1003860735,Aziz-Sultan,Mohammad Ali,,M.D.,I,75 Francis St,,Boston,MA,25,2115,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Neurosurgery,Y,75898,Imaging of blood vessel,N,F,15,17.0,15,889.0,94.431176471,75.24,61.638823529,2023
1013216472,Felbaum,Daniel,R,MD,I,3100 Princeton Pike,"Building 3, Suite D",Lawrenceville,NJ,34,8648,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Neurosurgery,Y,61624,Occlusion of central nervous system or spinal cord artery,N,F,17,23.0,19,2984.3478261,1183.5217391,934.37130435,749.81173913,2023
1013216472,Felbaum,Daniel,R,MD,I,3100 Princeton Pike,"Building 3, Suite D",Lawrenceville,NJ,34,8648,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Neurosurgery,Y,75894,Review by radiologist of image for insertion of material to block blood flow,N,F,17,24.0,19,234.0,78.258333333,62.35,55.785,2023
1013216472,Felbaum,Daniel,R,MD,I,3100 Princeton Pike,"Building 3, Suite D",Lawrenceville,NJ,34,8648,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Neurosurgery,Y,75898,Imaging of blood vessel,N,F,17,24.0,19,292.0,99.59,79.35,61.64,2023
1013227198,Sorkin,Grant,C,MD,I,228 Saint Charles Way Ste 300,,York,PA,42,17402,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Neurosurgery,Y,61624,Occlusion of central nervous system or spinal cord artery,N,F,12,14.0,12,3224.0,1049.7042857,839.38285714,786.78,2023
1013227198,Sorkin,Grant,C,MD,I,228 Saint Charles Way Ste 300,,York,PA,42,17402,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Neurosurgery,Y,75894,Review by radiologist of image for insertion of material to block blood flow,N,F,13,15.0,13,141.0,69.001333333,55.172666667,55.784,2023
1013227198,Sorkin,Grant,C,MD,I,228 Saint Charles Way Ste 300,,York,PA,42,17402,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Neurosurgery,Y,75898,Imaging of blood vessel,N,F,13,26.0,13,177.0,87.68,70.11,61.635,2023
1013235183,Tanweer,Omar,,M.D.,I,7200 Cambridge St Fl 10,,Houston,TX,48,77030,1.0,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",US,Neurosurgery,Y,61624,Occlusion of central nervous system or spinal cord artery,N,F,14,15.0,15,5963.0,1203.09,958.56,917.91,2023
